CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
오향장육,삶기, 아롱사태 양배추 마늘 고추 새우 레몬식초 조림물 물 간장 물엿 파 양파 마늘 생강 팔각
돼지목살수육,삶기, 돼지 목살 저수분냄비
감자마카로니샐러드,삶기, 감자 마카로니 삶은 계란 사과 케이퍼 후추 소금 마요네즈 화이트와인식초 올리고당 레몬즙 
감자샐러드,삶기, 오이 당근 삶은감자 땅콩버터
두부,삶기, 쪽파 소고기 두부 간장 매실액기스 고추가루 참기름 통깨 쫑쫑썰은쪽파
삼겹살보쌈,삶기, 삼겹살 팩 대파 마늘 생강 양파 맛술 후추 
닭다리살샐러드,삶기, 닭다리 양상추 청피망 간장 액스트라 버진 올리브유 다진마늘 양파즙 식초 후추 
된장수육,삶기, 돼지고기 보쌈용 오겹살 약 된장 크게큰술 대파 마늘 생강 맛술 후추 
보쌈수육,삶기, 무우 김장김치 돼지고기 그외야채 돼지고기 삶을때 생강 커피 된장 무우무침 참기름 통깨 매실청 고추가루 다진마늘 소금 냉이무침 간장 참기름 매실청 고추가루 다진마늘 통깨 
돼지껍데기편육,삶기, 삶은 돼지껍데기 청양고추 홍고추 실고추 물 껍데기의열배분량 초간장 간장 물 식초 
돼지고기수육,삶기, 토종 흑돼지고기 수육용 마른 홍고추 대파 생강 청주 통후추 정향 달래장 달래 다진것 다진마늘 다진생강 고추기름 간장 현미식초 참기름작은술 청주 통깨 검은깨 
연근과자,삶기, 통연근 포도씨유 파마산치즈가루 파슬리가루 식초물 
오징어순대,삶기, 오징어 돼지고기간거 두부 다진파 다진당근 표고버섯 다진마늘 양파 당면 계란 밀가루 대꼬치 간장 소금 후춧가루 참기름 
콩국수,삶기, 연두부 우유 호두 잣 땅콩 달걀 국수 고명 흑임자 오이 기호에따라 파프리카 기호에따라
녹두빙수,삶기, 녹두 찰떡 물 갈은얼음 여러가지 과일 냉동블루베리 냉동따릭 포도 골드키위 바나나 설탕 소금 우유 시럽
콩국수,삶기, 생면 두부 두유 검은깨 오이 수박 소금 
새싹가지롤,삶기, 가지 피망 개 김밥햄 맛살 새싹 칠리소스 
치즈감자뇨끼,삶기, 감자 박력분 우리밀우리밀이 없으시면 박력분이나 밀가루를 사용가능 찐단호박 모짜렐라치즈 원하시는만큼
오렌지새우샐러드,삶기, 새우 양배추잎동그란 양배추기준 얼갈이 배추 오렌지 키위드레싱 
순두부콩국수,삶기, 순두부 메밀소면 오이 토마토 얼음 우유 검은개 참깨 헤이즐럿 굵은소금
감자샐러드,삶기, 감자 당근 오이 캔옥수수 체다슬라이스치즈 플레인 요구르트 마요네즈 파르마산치즈가루 설탕 소금 후춧가루 
돼지고기수육,삶기, 돼지고기 목살 파뿌리 양파 무우 개 계피 통마늘 된장 약 물 
열무김치국수,삶기, 열무김치 국수 얼음
우족편,삶기, 한우우족 달걀 실고추 파 소금
냉모밀국수,삶기, 메밀면 혼쯔유 물 와사비 무
콩국수,삶기, 백태 소면 생수 오이 토마토 얼음 천일염 
