CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
콩나물밥,삶기, 쌀 콩나물 국그릇 갈은 돼지고기 종이컵 표고버섯 당근 팽이버섯 오이 달걀 간장 설탕 고춧가루 다진마늘 다진파 올리고당 참기름 통깨
두부김치말이국수,삶기, 묵은지 두부 오이 얼음 고추장 매실청 묵은지 김칫국물 다시마우린 물 매실청 식초
오이소박이국수,삶기, 오이소박이김치 소면 삶은계란 배 진간장 참깨 오이소박이국물 물 매실즙 식초 소금
감동란,삶기, 계란 천일염 식초
수수팥떡,삶기, 팥 수수가루 찹쌀가루 소금 설탕 소금
시래기밥,삶기, 시래기 쌀뜨물 백미 현미 흑미 퀴노아 시래기 국간장 들기름 마늘 장 국간장 사과청 꿀 대파 마늘 깨 참기름
고구마아이스크림,삶기, 아이스크림 찐고구마 견과류 초코가루
콩국수,삶기, 두부 소면 오이 토마토 소금 땅콩버터 설탕 물 통깨 
감자계란샐러드,삶기, 감자 계란 양파 오이 당근 크래미 소금 후추 마요네즈 케첩
콩국수,삶기, 시판용콩국 소면 달걀 오이 미숫가루 깨소금
김치말이국수,삶기, 신김치 동치미냉면육수 소면 레몬식초 설탕 참기름 통깨
돼지고기수육,삶기, 돼지고기앞다리살 대파 생강 통마늘 맛술 된장
삼겹살샐러드,삶기, 깻잎 양상추 양파 당근 대패삼겹살 된장 마늘 생강 엄지 손가락 한마디 크기 물 씨겨자 허니머스타드 다진마늘 식초 올리고당 매실청 설탕 
고구마단호박샐러드,삶기, 고구마 작은것 단호박 우유 설탕 버터 소금 건포도 크렌베리 마요네즈 연유 레몬즙 요플레 슬라이스아몬드
히야시추카,삶기, 메밀면 오이 달걀 맛살 숙주 토마토 삶은고기 어묵 다시물 간장 설탕 식초 참기름 연겨자
치즈감자샐러드,삶기, 감자 소금 포도씨유 버터 다진마늘 다진 양파 밀가루 우유 체다슬라이스치즈 피자치즈 파마산치즈가루 쌈채소 방울토마토 소금 후추 
콩국수,삶기, 두부 우유 호두 정도 오이 당근 토마토 깨소금 
두부땅콩버터국수,삶기, 포프리 두부 두부 반모 국수 땅콩버터 참깨 소금 
간장수육,삶기, 된장 마늘 엄지 손가락 한마디 크기의 생강 돼지 껍떼기가 붙은 앞다리살 물 청양고추 대파 고기 삶은물 간장 매실청 설탕 청주 월계수 통후추 
에그샌드위치,삶기, 계란 모닝빵 오이 맛살 양파 피클 마요네즈 머스타드소스
감자계란샐러드,삶기, 감자 계란 파프리카 양파 크래미 옥수수 통조림 소금 후추 마요네즈
냉모밀,삶기, 메멜면 로즈마리 찬물 얼음 라임 깻잎 메밀소바쯔유 
물냉면,삶기, 시판냉면 육수 무 계란
콩국수,삶기, 시장표 콩국물 소면 오이 굵은 소금 달걀 깨 
무수분수육,삶기, 돼지고기 양파 작은거 사과 작은거 파 된장 다진마늘 월계수잎 통후추 커피알 
스파게티삶는법,삶기, 스파게티 면 물 소금 올리브유 
콩국수,삶기, 메주콩 깨 물 삶은콩양의세배 소금 메밀면 오이 
콩국수,삶기, 생메주콩 삶은백태 물 통깨 소면 오이 건포도 
콩국수,삶기, 검은콩 호두 검은깨 소면 건포도 오이 체리 소금 꿀
냉칼국수,삶기, 칼국수 면 동치미육수 오이 김치 오이와비슷한양으로 삶은 계란 통깨 
냉면,삶기, 냉면 냉면육수 무 파프리카 양파 식초 설탕 소금 겨자 고추가루
실곤약샐러드,삶기, 실곤약 오이 맛살 마요네즈 올리고당
시래기삶는법,삶기, 시래기
슈바인학세,삶기,고기 삶기 돼지앞다리살 흑맥주 물 월계수잎 사우어크라우트 양배추 소금 식초 설탕 
콩국수,삶기, 콩 참깨 오이등
딸기찹쌀떡,삶기, 딸기 양갱 찹쌀 카스테라 아몬드 가루녹차 소금 설탕 
병아리콩밥,삶기, 병아리콩 쌀 소금 
콩국수,삶기, 서리태 검은깨 생수 부 오이 토마토 소금
감자샐러드샌드위치,삶기, 감자 오이 양배추 파프리카노랑 파프리카빨강 아몬드 우유 아가베시럽 매실액 허브솔트 
콩국수,삶기, 백태 볶은참깨 소금 볶은콩가루 땅콩 물 설탕 오이 방울토마토 얼음
수육보쌈,삶기, 돼지고기보쌈용 통마늘 양파 된장스푼 통후추 대파 월계수잎
감자샐러드,삶기, 감자 빨강파프리카 노란파프리카 피망 옥수수콘 마요네즈 허니머스타드 꿀 흑임자 
콩국수,삶기, 두부 두유 땅콩잼 소금 깨 설탕
옥수수삶는법,삶기, 옥수수 물 압력밥솥의비율 소금 설탕 
돼지고기수육,삶기, 돼지고기 삼겹 대파 양파 마늘 월계수잎 된장 통후추 
콩국수,삶기, 검은콩 오이 참깨 소금
콩국수,삶기, 두부 깨 땅콩버터 물 두부담은 통으로 
콩국수,삶기, 두부 깨 물 두부통으로 땅콩버터 설탕 소금 
에그슬럿,삶기, 계란 삶은 감자 크기에 따라 우유 유리병 마요네즈 치즈 후추 소금 
열무국수,삶기, 열무국수국물 다시육수 양배추피클주스 국수 열무김치 오이채 깨소금 얼음 고추장 양조간장 매실청 김칫국물 참기름 
콩국수,삶기, 콩가루 생수 오이 소금 소면
옥수수삶는법,삶기, 옥수수 소금 설탕 뉴슈가 
자두냉메밀국수,삶기, 메밀면 생수 자두 오이 크래미 구운계란 맛김가루 쯔유 양파효소
감동란,삶기, 계란 물 소금 
초계탕국수말이,삶기, 닭 소면 파프리카 양파 오이 채수 디포리 양파 대파 등 자투리채소 육수 뒤포리 대파 식초 겨자 소금 설탕
다슬기삶는법,삶기, 다슬기 상추 깻잎 양파 당근 청양고추 마늘 깨 초고추장 된장 
밤까는법,삶기, 밤 소금 
콩국수,삶기, 두부 땅콩버터 소금 통깨 물두부 팩 가득 국수 동전크기 설탕 삶은 계란 소금 식초 
스파게티삶는법,삶기, 스파게티면 마늘 양파 양송이버섯 올리브오일 소금 파슬리가루 파머산치즈
옥수수삶기,삶기, 찰 옥수수 물 옥수수 수염 천일염 
보쌈,삶기, 돼지고기 양파 생강 통마늘 고추 대파 커피 된장
보쌈,삶기, 돼지고기앞다리살 보쌈용 양파 당근 대파 통마늘 생강 통후추 커피가루 청주 물 
매쉬드포테이토,삶기, 감자 오이 당근 옥수수캔 마요네즈 생크림 우유 소금 후추 설탕 
옥수수삶는법,삶기, 옥수수 천일염 뉴슈가 
