CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
닭가슴살동그랑땡,부침, 닭가슴살 달걀 밀가루 포일 올리브유 두부 부추 홍고추 청고추 양파 청주 다진마늘 참기름 후춧가루 간장 설탕 달걀노른자 소금 
가지전,부침, 가지 밀가루 계란 오이 두반장 물 참기름 설탕 깨소금 간 것 
바지락부추부침개,부침, 바지락 까놓은 바지락의 경우 파프리카 부추 청양고추 박력분 감자전분 계란 물 식용유 브로컬리가루또는녹차가루 국간장 또는 소금
대구전,부침, 대구살포 뜬것 밀가루 식용유 계란 쑥갓잎 대구살 밑간 소금 후추 본 밑간 소금 
호박전,부침, 늙은 호박 껍질 깐 것 소금 밀가루 우유 
동태전,부침, 동태포 밀가루 달걀 고춧가루 다진대파 소금 후춧가루 
고구마빈대떡,부침, 고구마 토마토 양파 파프리카 잣 찹쌀가루 토마토 샐러드 올리브유 소금 꿀 레몬즙 발사믹식초 고구마 빈대떡 꿀 연유 소슴 계피가루
오믈렛,부침, 계란 양파 당근 빨강피망 파란피망 체다치즈 실파 우유 식용유 스푼 밥 조미김 깨소금 계란 소금 후춧가루 
오코노미야끼,부침, 양배추 채 썬 것 당근 대파 새우살 오징어 식용유 정도 밀가루 물 소금 오코노미야끼 소스 마요네즈와 케첩 가스오부시가루 파래 가루 또는 파슬리 가루
치즈김치전,부침, 밀가루 달걀 김치 양손 물 
햄말이주먹밥,부침, 밥 파래가루 계란노른자 게맛살 검은깨 통깨 의성마늘 슬라이스햄 롯데햄 맘쉐프 계란물 밥밑간 식초 설탕 소금 작은술
상추장떡,부침, 상추 부추 썬 것 깻잎 양파 홍고추 굴 청주 부침반죽 찬물 고추장 부침가루 
피망전,부침, 피망 칼라별로 작은 것 대구살 두부 밀가루 계란 식용유 다진 마늘 다진 파 소금 후춧가루 
진미채전,부침, 진미채 칼라별 피망 씩 계란 부침용 식용유 호두분태 파래가루 소금 후춧가루 
콩비지김치전,부침, 비지 김치 표고버섯 맛살 옥수수알 밀가루 물 계란 소금 대파 후춧가루 
감자전,부침, 감자 양파 녹말가루 다진 고추 청고추 소금 
딸기토스트,부침, 딸기 식빵 생크림 계란 설탕 밥숟가락 녹인버터 소금 계피가루
홍합부추전,부침, 부추 유기농밀가루 물 홍합 청양고추 식용유 당근 소금 
참치계란말이,부침, 유정란 참치 당근 청주 대파 소금 오일 
건포도감자전,부침, 감자 大 건포도 호두 포도씨오일 소금 
부추감자전,부침, 감자大 부추 양파 밀가루 물 포도씨유 초간장 간장 물 식초 설탕 반죽 참기름 소금 후추 
짜춘권,부침, 돼지고기 채썬것 양파 맛살 당근 데친 시금치 춘권피 반죽 계란 물 밀가루 듬뿍 소금 소금 진간장 맛술 후춧가루 밑간 소금 맛술 후춧가루 생강가루 
