CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
견과류고구마밤맛탕,튀김, 고구마 깐생밤약 견과류호두아몬드 카놀라유 설탕 올리고당 생수 계피가루 
깐풍더덕,튀김, 더덕 계란 흰자 녹말가루 고추기름 식용유 양파 건고추 대파 통마늘 풋고추 진간장 굴소스 설탕 올리고당 맛술 물 식초 참기름 후춧가루 소금 
약과,튀김, 밀가루 계피가루 후추 식소다 계란 청주 참기름 집청시럽 생강달인물 고명용 대추 잣 집청꿀 생강달인물 조청 설탕 생강 물 
크림치즈스프링롤,튀김, 크림치즈 맛살 대파 다진마늘 월남쌈피 튀김기름 튀김옷 밀가루 달걀 빵가루 소금 후춧가루 
식빵튀김,튀김, 새우 식빵 계란 빵가루 밀가루 식용유 밑간 다진마늘 다진 실파 소금 후추 소스 플레인 요구르트 다진 피클 설탕 
고구마스틱,튀김, 고구마 포도씨유 식용유 꽃소금 뉴슈가 
마늘새우튀김,튀김, 새우 빵가루 밀가루 계란 식용유 새우밑간 다진 마늘 소금 후추 청주 소스 마요네즈 피클 파인애플 양파 다진것 
고구마빠스,튀김, 고구마 중간크기 올리브유 검은깨 시럽 황설탕 올리고당 진간장 올리브유 
사과빠스,튀김, 사과 달걀 노른자 우리밀 백 밀가루 해바라기씨유 시럽 해바라기씨 설탕 올리고당 
밤맛탕,튀김, 맛밤 밀가루 검정깨 식용유 설탕 포도씨유 올리고당 
감자크로켓,튀김, 감자 중간크기 양파 참치캔 소금 후추 슬라이스치즈 날치알 식용유 밀가루 계란 빵가루 케찹 우스터소스 물 
생선커틀릿,튀김, 흰살생선동태살 달걀 빵가루 튀김기름 생선 밀가루 우유 소금 후춧가루 타르타르소스 마요네즈 다진양파 다진피클 피클국물 레몬즙 설탕 소금 후춧가루 
치킨텐더,튀김, 닭안심살 나초칩 밀가루 계란 식용유 아몬드 케이준파우더 소금 후추 청주 파슬리가루 
고구마맛탕,튀김, 고구마 꿀 카놀라유
닭다리튀김,튀김, 닭다리 월계수잎 통후추 로즈마리 우유 샐러드 토마토 오이 사과 양배추 튀김옷 밀가루 달걀 빵가루 밑간 우유 소금 후춧가루 드레싱 마요네즈 케첩 다진피클 다진양파 레몬즙 설탕 소금 후춧가루 
과일누룽지탕수육,튀김, 누룽지 파인애플슬라이스 피망 파프리카 오렌지 파인애플통조림국물과 물 설탕 케첩 소금 식초 녹말물 녹말가루 물 
달걀돈까스,튀김, 계란 돼지고기다짐육 밀가루 빵가루 식용유 달걀 돈까스소스 다진마늘 설탕 생강술 맛술청주 녹말가루 후춧가루 생강가루 소금
프라이드치킨,튀김, 닭고기 식용유 닭고기밑간 튀김가루 케이준가루 유자소스 유자 물 녹말가루 물 식초 간장 소금 설탕 
오징어다리튀김,튀김, 오징어 튀김가루 물 풋고추 홍고추 중파 만두피 튀김기름 감자전분 
핫케이크도너츠,튀김, 핫케이크 가루 계란 우유 베이킹파우더 식용유 
닭똥집튀김,튀김, 닭근위 치킨튀김가루 고구마 닭근위 밑간 소금 후추 본 간장 고추장 케찹 설탕 꿀 다진 마늘 다진 생강 다진 양파 
돈가스,튀김, 돈가스용 고기 안심이나 등심 고기 청주 다진 마늘 소금 후춧가루 생강가루 돈가스소스 하이라이스가루 케첩 돈가스 스테이크소스 버터 다진 양파 캔 옥수수 물 월계수잎 물엿 후춧가루 
돈가스,튀김, 돼지안심육 밀가루 빵가루 계란 김치 버섯 양파 파프리카 파 마늘 계란 소금 후추 국물 다시마 멸치 가다랑어포 대파 물 미림 간장 고춧가루 
고구마롤돈까스,튀김, 돈까스용 등심 호박고구마 완두콩캔 밀가루빵가루 유정란 청주 마늘솔트 
치즈고구마돈까스,튀김, 돈까스용 돼지고기 고구마 큰거 작은거 모차렐라치즈 튀김옷 달걀 빵가루 소금 후추 
새우튀김,튀김, 블랙 타이거 새우 튀김가루 빵가루 계란 사브로소 포도씨유 파슬리가루 생 파슬리 새우밑간 레몬 흰후추가루 소금 디핑 폰즈소스 미쯔칸에비마요소스 미쯔칸쿠로즈유자폰스소스
교촌치킨,튀김, 닭 우유 튀김옷 튀김가루 전분가루 닭고기 소금 후춧가루 레드소스 진간장 고춧가루 핫소스 물엿 설탕 케첩 굴소스 다진마늘 생강즙 다진청양고추 통깨 
깐쇼새우,튀김, 새우 양파 피망 튀김옷 달걀노른자 녹말가루 밀가루 다진마늘 다진생강 맛술 녹말물 소금 후춧가루 칠리소스 케첩 설탕 식초 간장 두반장 참기름 멸치 다시마육수 
치즈롤치킨까스,튀김, 닭가슴살 파프리카 모짜렐라치즈 체다슬라이스치즈 빵가루 튀김가루 계란 후춧가루 사브로소 포도씨유 곁들일 양배추 기꼬망 허니머스터드 마리네이드 소스 큐피 화풍장유 참깨 드레싱 불독돈까스소스
탕수육,튀김, 돼지등심 달걀 흰자 양파 목이버섯 당근 오이 파인애플 통조림링 밑간 간장 청주 후추 앙금녹말 감자전분 물 소스 식용유 대파 물 설탕 굴소스 간장 소금 식초 레몬즙 물녹말 감자전분 물 
감자칩,튀김, 감자 파슬리가루 소금 소스 케첩 핫소스 
브런치,튀김, 춘권피 고구마 우유 꿀
모듬튀김,튀김, 고구마 가지 깻잎 단호박 당근 대하 튀김옷 현미 튀김용 쌀가루 감자전분 계란 얼음물또는 시원한 맥주 치자물 소금 새우밑간 소금 후추 맛술
닭다리튀김,튀김, 닭다리 월계수잎 통후추 로즈마리 우유 튀김옷 밀가루 달걀 빵가루 우유 소금 후춧가루 
치킨샐러드,튀김, 닭안심살 샐러드 야채 토마토 튀김 계란 밀가루 빵가루 파슬리가루 식용유 닭살 밑간 소금 후추 우유 소스 허니머스터드소스 마요네즈 식초 꿀 
장어탕수,튀김, 장어 계란 튀김옷 녹말가루 밀가루 밑간 간장 맛술 소금 후춧가루 탕수소스 양파 파인애플 목이버섯 당근 청피망 홍피망 물 간장 식초 설탕 
새우스틱,튀김, 튀김용 새우 핫케익가루 밀가루 물 
돈까스,튀김, 돈까스용 돼지고기 튀김용 밀가루 빵가루 계란 식용유 돼지고기 밑간 소금 작은술 후춧가루 맛술 소스 밀가루 버터 물 양파 파인애플 케찹 우스터소스 진간장 맛술 설탕 적포도주 다진 마늘 월계수잎 
돈까스,튀김, 돈까스용 등심 계란 튀김가루 빵가루 청주 허브맛솔트 올리브오일 귤 셀러리 양파 레몬즙 마요네즈 올리브유 꿀 
돈까스샐러드,튀김, 돈까스 큰 것 샐러드 채소 계란 삶은 것 체다치즈 사과 마요네즈 연유 레몬즙 머스터드소스 소금 우유 
치킨커틀릿,튀김, 닭 안심살 콘플레이크 닭밑간 청주 우유 마요네즈 소금 후춧가루 허니머스터드소스 마요네즈 머스터드 꿀 레몬즙 소금 후춧가루 
쉬림프스프링롤,튀김, 새우 춘권피 레몬 사브로소 포도씨유 계란흰자 백후추가루 소금 디핑소스 엑소틱 푸드 스프링 롤 소스
바닐라도넛,튀김, 강력분 따뜻한물 설탕 드라이이스트 소금 버터 포도씨오일 시럽 레몬즙 바닐라에센스 슈가파우더 
오징어링튀김,튀김, 오징어 몸통 튀김가루 녹말가루 베이킹파우더 차가운 맥주 빵가루 식용유 소금 파마산치즈가루 파슬리가루 
프라이드치킨,튀김, 닭봉 감자전분 튀김가루 통마늘 사브로소 포도씨유 후춧가루 청주 소금 순커리가루 디핑소스 엑소틱푸드스위트칠리소스
두부강정,튀김, 두부 녹말가루 참깨 검정깨 새싹 포도씨유 고추장 간장 케첩 고춧가루 다진마늘 생강술 맛술 설탕 올리고당 매실엑기스 물 고추기름 굴소스
누룽지과자,튀김, 보리밥 튀김용 식용유 슈가파우더 계피가루 
돈까스,튀김, 돼지고기 밥 버터 고추장 고춧가루 케찹 생강술 맛술청주 올리고당 물 마늘가루 생강가루 후춧가루 핫소스 간장 참기름 
돈까스,튀김, 돼지고기 등심 밀가루 달걀 빵가루 시판돈까스소스 참깨 맛술 소금 후추 파슬리가루 
참다래커틀릿,튀김, 참다래 다진소고기 밀가루 달걀 빵가루 파슬리가루 튀김오일 양상추 고기 다진마늘 다진파 빵가루 소금 후추 키위소스 참다래 플레인요구르트 간장 레몬즙 머스타드소스 
멸치튀김,튀김, 잔멸치 채썬마늘 채썬당근 아몬드슬라이스 튀김가루 녹말가루 통깨 설탕 물 튀김기름 
멸치주먹밥튀김,튀김, 멸치조림 밥 계란 박력분 빵가루 튀김기름 멸치조림 멸치 멸치주먹밥 튀김 소스 케찹 머스타드소스 멸치조림 진간장 청주 물 황설탕 올리고당 다진마늘 통깨 참기름 
돈까스샌드위치,튀김, 식빵 밀가루나튀김가루 달걀 빵가루 양배추 마요네즈 돈까스소스 케찹 후추 소금 
몬테크리스토,튀김, 식빵 슬라이스 체다치즈 베이컨 닭가슴살 모차렐라치즈 튀김가루 찬물 소금 후추 
떡강정,튀김, 가래떡 호두분태 아몬드 슬라이스 튀김용식용유 물 고추장 설탕 꿀 식용유 진간장 
딸기쨈도너츠,튀김, 강력분 따뜻한물 달걀 소금 설탕 드라이이스트 분유 버터 딸기쨈 튀김기름
치즈감자고로케,튀김, 감자 껍질 깐것 디즈니 프린세스 후리가케 튀김가루 빵가루 계란 마요네즈 콜비잭치즈 또는 모짜렐라치즈 사르로소 포도씨유 케첩 또는 머스터드소스 
