CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
간장게장,절임, 냉동알베기꽃게 양파 청양 고추 홍 고추 마늘 생강 건표고버섯 국간장 진간장 물 소주 배 큰거 양파 마늘 청양고추 대파 뿌리 다시마 다진 생강 
열무김치,절임, 열무 무 오이 붉은 고추 당근 굵은 소금 사골육수 고춧가루 다진 마늘 다진 생강 생수 소금 설탕 
고추장아찌,절임, 고추장아찌 다시마물 소금 고춧가루 
배추겉절이,절임, 배추속대 대파 실파 홍고추 배추절임 물 천일염 고춧가루 까나리액젓 새우젓 다진 마늘 생강 설탕 
파김치,절임, 씻은 쪽파 고춧가루 배 설탕 까나리액젓 당근 소금 통깨 
설렁탕깍두기,절임, 무 마른고추 쪽파 마늘 배 양파 찰밥 생강즙 요구르트 새우젓 소금 설탕 고춧가루 쪽파 마늘 
채소피클,절임, 작은 적채 미니파프리카 청양고추 무 오이 양파 물 현미식초 발사믹식초 설탕 소금 피클링 스파이스 
깻잎김치,절임, 깻잎 까나리액젓 설탕 물 고춧가루 다진양파 다진파 다진마늘 통깨 후추 
레몬에이드,절임, 레몬 물 설탕 소금 물 설탕시럽 꿀
양배추깻잎피클,절임, 양배추 깻잎 물 사과식초 설탕 굵은소금 
무초절임,절임, 무 사과 양파 다시마 대파 흰부분 식초 매실청 끓인물 소금 
깻잎장아찌,절임, 깻잎 간장 새우젓국물 미림 올리고당 고추가루 마늘 다진파 양파 당근 통깨 매실엑기스 소금 
무초절임,절임, 무우 사과 양파 다시마 대파흰부분 끓인물 식초 매실청 소금 
조청,절임, 엿기름 쌀 물 컵 기준
깍두기,절임, 적당한 크기의 무 쪽파 소금 사이다 우유 고추가루 새우젓 다진마늘 다진양파 소금 설탕 뉴슈가 
깍두기,절임, 무 약 쪽파 소금 고춧가루 새우젖 아가베시럽 설탕 마늘 생강가루 
야채피클,절임, 파프리카 양파 고추 오이 간장 물 설탕 사과식초 
백김치,절임, 배추 무우 큰것 풋고추 홍고추 양파 배 작은것 소금 
파김치,절임, 파 젓갈 다진마늘 설탕 고춧가루 새우젖 소금 
물김치,절임, 보르도무 절인 배추 양파 작은거 사과 마늘 굵은소금 
열무김치,절임, 열무 굵은소금 찹쌀풀 육수 찹쌀가루 육수 멸치 다시마 새우 황태머리 양파 대파우려낸물 멸치액젓 작은국자 새우젓 작은국자 고춧가루 양파 청양고추 홍고추 쪽파 찹쌀풀 아가베시럽 국자 올리고당등 국자 다진마늘 생강가루 
양배추물김치,절임, 양배추 감자 마늘편으로 썬거 생강편으로 썬거 양파 풋고추 당근 생수 고추가루 구운소금 
오이피클,절임, 오이 양파 피클링스파이스 월계수잎 식초 설탕 물 소금 정도
피클,절임, 오이 당근 피망 양배추 원하는만큼 물 설탕 식초 소금 피클링스파이스 
얼갈이김치,절임, 당근 양파 청양고추 쪽파 얼갈이 고춧가루 새우젓 밀가루 풀 설탕 굵은 소금 굵은 소금 생강 엄지손가락만한것 마늘 한 정도 붉은 고추 까나리 소금 
열무물김치,절임, 무 얼갈이배추 풋고추 대파 붉은고추 고추가루 양파 설탕 다진마늘 소금 
섞박지,절임, 무 애기배추 굵은 소금 대파 쪽파 다진마늘 고춧가루 물 다진 생강 새우젓 멸치액젓 설탕 
파김치,절임, 쪽파 육수 멸치 다시마 새우 황태 대파 양파 우린 물 까나리액젓 새우젓 생강가루 다진마늘 고추가루 아가베시럽 설탕올리고당물엿 육수 
파김치,절임, 쪽파 다듬은뒤 무게가 멸치액젓 고춧가루 새우젓 배즙 다진마늘 생강가루 매실액기스 밀가루풀 멸치다싯물 밀가루 
간장게장,절임, 활꽃게 고명 마늘 편으로 썰어서 양파 청양고추 홍고추 레몬 양파 대파 청양고추 마늘 생강 감초 월계수잎 간장 멸치 가쓰오부시 육수 청주 매실엑기스 물엿 통후추 
간장게장,절임, 살아있는 암케 간장물 양조간장 물 청주 매실액기스 레몬즙 통후추 사과 양파 대파흰부분 청양고추 마늘 다시마 표고버섯 생강 
배추김치,절임, 배추 쪽파 무 부추 굵은소금 물 고춧가루 멸치액젓 새우젓 다진마늘 다진생강 매실액기스 배즙 밀가루풀 멸치다싯물 밀가루 
김장아찌,절임, 김 통깨 간장 다시마우린물 맛술 요리당 양파 마늘 대파 
황태장아찌,절임, 황태 고추장 고춧가루 매실청 꿀 진간장 청주 다시마물 
열무김치,절임, 열무 얼갈이 알배추 쪽파 소금 열무절임물 감자풀 멸치 다시마육수 밥 감자 큰것 고춧가루 다진마늘 생강가루 새우젓 멸치액젓 매실액 붉은고추 양파 사과큰것 소금 
파김치,절임, 쪽파 멸치액젓 마늘 고춧가루 쌀엿또는물엿 깨소금 
마늘종장아찌,절임, 마늘종 간장 물 요리초 식초 설탕 
얼갈이김치,절임, 얼갈이 미니배추 김치 고춧가루 홍고추 양파 쪽파 마늘 생강 천일염 매실 설탕 풀국 물 찹쌀가루 절임물 천일염 물 
오이피클,절임, 오이 양파 마른홍고추 청양고추 마늘 굵은소금 단촛물 설탕 물 식초 월계수잎 꽃소금 통후추 
양파초절임,절임, 양파 홍고추 청량고추풋고추로 대체 가능 비율 간장 물 설탕 식초 
양파장아찌,절임, 장아찌용 양파 장아찌국물 생수 양조간장 식초 설탕 다시마 
양파장아찌,절임, 어린 양파 껍질벗기고 씻은 후 무게 청양고추 생수 진간장 식초 설탕 
매실청,절임, 매실 설탕 
통마늘장아찌,절임, 마늘 생수 식초 설탕 매실청 간장 
양파장아찌,절임, 양파 중간크기 절임간장 생수 식초 설탕 매실청 진간장 
오이소박이,절임, 오이 물 천일염 부추 고추가루 향신즙 액젓 건고추 따듯한 밥 소금 매실액 설탕 
