CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
파스타,볶음,깔조네 도우 강력분 올리브유 물 소금 설탕 인스턴트 드라이 이스트 청피망 노란 파프리카 빨간 파프리카 양파 프랑크 소세지 파스타면 올리브유 소금 후추 오레가노 모짜렐라치즈 토마토 소스 
오이볶음,볶음, 오이 굵은 소금 다진 마늘 설탕 참기름 깨소금 후춧가루 
묵은지삼겹살두루치기,볶음, 삼겹살 잘익은묵은김치 양파 묵은지 설탕 참기름 삼겹살 진간장 다진 마늘 고추장 설탕 참기름 맛술 매실액기스 후춧가루 
궁중떡볶이,볶음, 떡볶이떡 양파 데친 브로콜리 빨강 파프리카 노랑 파프리카 주황파프리카 생표고 하림 슬림 닭가슴살 대파 포도씨유 참기름 소스 간장 굴소스 다진마늘 우스터 소스 후춧가루 설탕 요리당 
닭가슴살볶음밥,볶음, 닭가슴살캔 양파 청피망 홍피망 완두콘캔 옥수수캔 밥 매콤한맛굴소스 소금 오일 
짜장덮밥,볶음, 돼지고기 감자大 양파大 당근 애호박 청양고추 물 짜장분말물 짜장분말 물 다진마늘 소금 후춧가루 식용유 
쑥떡떡볶이,볶음, 쑥떡 떡볶이떡 양파 양배추 당근 대파 동글어묵 삶은계란 참기름 떡볶이 고추장 고춧가루 진간장 황설탕 요리당 마늘 멸치육수 
비엔나마늘종볶음,볶음, 비엔나소시지 마늘쫑 오일 소금 장 진간장 요리당 참기름 청주 통깨 
오므라이스,볶음, 뜨거운 밥 맛있는밥엔 달걀 우유 
소세지야채볶음,볶음, 비엔나 소시지 양파 큰 것 피망 당근 대파 다진 마늘 고추장 케첩 간장 설탕 물엿 후춧가루 통깨 
무화과닭갈비,볶음, 닭 무화과 말린 것 설탕 무화과 물에 불릴때 사용 당귀잎 쌈야채 물 통깨 닭 밑간 간장 황설탕 참기름 다진 마늘 다진 파 닭볶음 고추장 올리고당 맛술 생강가루 후추 
오징어볶음밥,볶음, 생물 오징어 큰것 양파 큰것 데친 브로콜리 찬밥 완두콩 통조림 옥수수 포도씨유 간장 설탕 굴소스 다진마늘 후춧가루 참기름 
달걀볶음밥,볶음, 달걀 양파 당근 대파 밥 식용유 참기름 소금 후춧가루 통깨 
마늘종볶음,볶음, 마늘종 붉은고추 마늘 오일 진간장 황설탕 참기름 소금 통깨 
마파가지,볶음, 가지 양파 작은 것 잔파 빨강 피망 파랑 피망 돼지고기 다진 마늘 두반장 듬뿍 소금 설탕 참기름 후춧가루 녹말물 녹말 물 
표고버섯해물스파게티,볶음, 유기농 클래식 마리나라파스타소스 유기농 스파게티 세모라토 말린 표고버섯 또는 생표고버섯 생물 오징어 칵테일 새우 마늘 양파 작은것 홍피망 청피망 유기농 슬라이스 피클 올리브유 육수나 물 소금 후추 
