CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
샌드위치,기타, 식빵 베이컨 잘 익은 토마토 양상추 슬라이스체다치즈 피클 버터 마요네즈 머스터드
쥬스,기타,토마토 젤리 각한천 물 토마토쥬스 망고주스 망고 우유 꿀 입맛에 따라 조절
샐러드,기타, 오븐스마일빵 양상추 칵테일 새우살 버터갈릭소스 
파인애플샤벳,기타, 파인애플 요플레 연유나 꿀 
커피빙수,기타, 찬물 우유 바닐라 아이스크림 콘프레이크 에스프레소 시럽 초코시럽 연유 
브로콜리계란샌드위치,기타, 베이글 체다치즈 슬라이스햄 계란 브로콜리 데친 것 소금 양파 하바네로 머스터드 소스 허니머스터드소스 
크림참치베이글샌드위치,기타, 베이글 크림치즈 작은 참치캔 상추등야채 피클
롤샌드위치,기타, 식빵 햄 감자 메추리알 양파 당근 오이 피망 마요네즈 머스터드 소금 청양고추 마늘 칠리소스 고추기름 꿀 참기름 통깨 
훈제연어샐러드,기타, 훈제연어 슬라이스 무순 이탈리안드레싱 다진 양파 다진 오이피클 식초 설탕 올리브오일 소금 후춧가루 
훈제연어초밥,기타, 밥 훈제연어 슬라이스 배합초 식초 설탕 소금 소스 다진 오이피클 다진 양파 마요네즈 플레인 요구르트 레몬즙 소금 후춧가루 
오믈렛샌드위치,기타, 오븐스마일빵 계란 맛살 작은 것 파슬리가루 체다치즈 양상추 소금 토마토케찹 머스터드소스 
베이글샌드위치,기타, 베이글 양상추 치즈 양파 샌드위치용햄이나수제햄 블랙올리브 피클 크림치즈 파프리카 토마토 마요네즈 머스타드소스
아포카토,기타, 바닐라 아이스크림 에스프레소 초콜렛시럽 견과류 
연어또띠아롤,기타, 또르띠야 슬라이스연어 상추 토마토 체다치즈 양파 케이퍼 크림치즈 머스터드소스 머스터드 올리브유 또는 마요네즈 레몬즙 설탕 
녹차젤리,기타, 녹차가루 젤라틴가루 설탕 뜨거운물 찬물 우유 연유 팥조림
크림치즈아이스크림,기타, 크림치즈 설탕 우유 생크림 꿀 레몬즙 
전복샐러드,기타, 전복 양상추 치커리 적양배추 청양고추 붉은고추 고추장 고춧가루 식초 설탕 물엿 다진마늘 참기름 통깨 
얼그레이샤베트,기타, 우유 설탕 물엿 탈지분유 전분 얼그레이홍차잎 초콜렛 
프리타타,기타, 스위트콘옥수수 베이컨 파프리카 양파 양송이버섯 체다치즈 피자치즈 빵가루 계란 생크림 
수박빙수,기타, 얼린 수박 콘플레이크 연유 빙수팥
미트볼,기타, 한우 우둔살 갈은것 국내산 돼지고기 갈은것 양파 중간것 빵가루 계란 넛맥 통후추 소금 마늘 다진것 
레몬에이드,기타, 레몬 물 탄산수 꿀 설탕 얼음 
닭가슴살샐러드,기타, 닭가슴살 빨강파프리카 노랑파프리카 주황파프리카 닭가슴살 밑간 청주 소금 후춧가루 상큼소스 올리브유 마늘 레몬즙 사과 식초 꿀 바질가루 
요거트무스,기타, 카스테라 생크림 요거트 설탕 젤라틴 녹차가루 
삼색약식,기타, 불린쌀 물 밤 대추 잣 소스 간장 참기름 계피 소금 흑설탕 흰설탕 단호박 약식 쌀 단호박 찐것 물 설탕 소금 간장 계피가루 참기름 녹차약식 쌀 물 녹차가루 설탕 간장 소금 참기름 
두유마요네즈,기타, 시판두유 카놀라유 또는 포도씨유 생바질 소금 레몬즙 
바나나샌드위치,기타, 오븐스마일빵 바나나 아몬드 시나몬가루 꿀 
배샐러드,기타, 양상추 방울토마토 오이 배 새싹채소 칵테일새우 올리브유 식초 레몬즙 소금 꿀 후춧가루 
밤샐러드,기타, 깐밤 배 단감 무순 유자차 배 
복숭아푸딩,기타, 복숭아 레몬 탄산수 생수 젤라틴 설탕 굵은소금 뜨거운 물
티라미수,기타, 제누와즈 마스카르포네크림치즈 설탕 계란노른자 생크림 에스프레소 코코아파우더 
커스터드크림,기타, 노른자 우유 박력분 설탕 바닐라 오일 
포도화채,기타, 포도 알로에주스나 사이다 레몬즙 
배추쌈,기타, 배추 속 참치 무생채 쌈장 고추 마늘
고구마샌드위치,기타, 흑미쌀식빵 고구마 오이 양파 베이컨 휘핑한생크림 마요네즈 허니 머스타드 기호에따라
복숭아스무디,기타, 복숭아 플레인 요거트 우유 얼음 꿀 
리코타치즈샐러드,기타, 양상추 오이 방울토마토 리코타치즈 발사믹 식초 식초 양파 파슬리 올리브유 씨겨자 후추 소금 올리고당 
옥수수유부초밥,기타, 밥 유부 콘옥수수알 게맛살 김치 식용유 김치 후춧가루 깨소금 핫소스 게맛살 마요네즈 파슬리가루 
샌드위치,기타, 식빵 슬라이스햄 슬라이스치즈 양상추 치커리나 상추 마요네즈 다진오이피클 머스터드 케첩 
날치알오이롤초밥,기타, 밥 청오이 오이장아찌 날치알 튜브형 와사비 레몬즙 식초 소금 설탕 
연근정과,기타, 식초 데칠물 치자연근정과 연근 물 설탕 꿀 소금 치자 비트연근정과 연근 물 설탕 꿀 소금 비트 
고구마샌드위치,기타, 고구마 식빵 다진 양파 캔옥수수 건포도 호두 파르메산치즈가루 마요네즈 설탕 소금 
감자마카로니샐러드,기타, 마카로니 감자 중간크기 건파슬리가루 소금 설탕 마요네즈 우유 
소세지양파샌드위치,기타, 식빵 양파 수제소세지 피자치즈 콜라 후춧가루 소금 피클머스터드소스 
고구마샌드위치,기타, 곡물식빵 고구마 삶은 것 토마토 오이 적채 
요구르트샤베트,기타, 요구르트 사과
바나나주스,기타, 바나나 저지방 우유 꿀 시나몬가루 
파인애플스프링롤,기타, 라이스페이퍼 약 파인애플 중하새우나 칵테일 새우 크래미맛살 작은크기 달걀지단달걀 파프리카 청피망 당근 양파 새싹채소 땅콩버터 소스 땅콩 간장 물엿 식초 연 겨자 겨자마늘 소스 연겨자 다진마늘 식초 맛술 설탕 고추기름 소금 큰술
티라미수,기타, 제누와즈 크림치즈 우유 생크림 설탕 젤라틴 커피시럽 에스프레소 설탕 
귤칩,기타, 귤
파프리카카나페,기타, 미니파프리카 참치샐러드 참치 맛살 샐러드 맛살 오이 참치샐러드 다진양파 소금 후추 마요네즈 블랙올리브 소스 다진마늘 식초 씨겨자 설탕 소금 
단자,기타, 찹쌀가루 카스테라 사과 팥앙금 호두강정 백련초가루 녹차가루 설탕
티라미수,기타, 크림치즈 또는 마스카르포네치즈 플레인 요거트 생크림 설탕 레몬즙 레이디핑거쿠키 카스테라 코코아가루 기호에따라 데코스노우 커피시럽 커피가루 설탕 물 깔루아 
고구마오이카나페,기타, 담백한크래커 체다치즈 고구마 중간크기 오이 꿀 후추 소금 우유 마요네즈 
키위요거트파르페,기타, 키위 플레인요거트 시리얼 웨하스 바닐라아이스크림 휘핑크림 메이플시럽
햄버거,기타, 양파 대파 당근 돼지고기 계란 두부 다진마늘 채썬양배추 오이 허브맛 솔트 굵은소금 참기름 마요네즈 케찹
연어캘리포니아롤,기타, 불린쌀 다시마 물 스시노코 훈제 슬라이스연어 맛살 아보카도 크림치즈 청오이 단무지 구운김 날치알 양파 실파 마요네즈
젤리,기타, 스위티 물 설탕 한천가루 
바나나두유,기타, 두유 바나나 땅콩분태 
부추만두,기타,만두피 반죽 강력분 전분 중력분 물 계란 속 돼지고기 다짐육 부추 두부 계란 다진 마늘 소금 참기름 후춧가루 깨소금 
파슬리후레이크,기타, 생파슬리 
시금치불고기샌드위치,기타, 생시금치 불고기용 쇠고기 양파 노랑파프리카 빵 샌드위치 소스 허니머스터드 돈까스소스 불고기 간장 참기름 다진마늘 참깨드레싱 참깨 마요네즈 
까나페,기타, 참크래커 스위티 체다슬라이스 치즈 미니파프리카 무순 맛살샐러드 게맛살 캔 옥수수 마요네즈 
샤베트,기타, 스위티 요구르트 얼린 것 꿀 
바게트샌드위치,기타, 바게트빵 치즈 프랑크햄 파프리카 오이 허니머스터드 소스 실온버터 머스터드 꿀 
참치호박잎쌈롤,기타, 밥 호박잎 찐것 참치캔 쌈장 감귤 고추장 브로콜리 된장 다진마늘 다진파 올리고당 참기름 깨소금 밥 소금 참기름 깨소금 
강정,기타, 견과류 섞어서 쌀엿 설탕 
연어무쌈말이,기타, 시판 쌈무 훈제연어슬라이스 무순 달걀 게맛살 당근 양파 땅콩깨소스 땅콩 통깨 식초 레몬즙 설탕 꿀 물엿 간장 연겨자 우유 
김밥,기타, 김밥김 밥 밥순이 명란젓
에이드,기타, 스위티 물 탄산수 얼린 각 요구르트 꿀 설탕 
두부,기타, 마른콩 물 천연간수 
인절미,기타, 찹쌀 물 볶은 콩가루 소금 설탕 
닭볶음우동,기타, 버섯 우동 닭고기 파 고추장 고춧가루 참기름 설탕 다진마늘 간장 물엿 카레가루 후추 소금 청주
양파샌드위치,기타, 식빵 딸기쨈 계란 양파 허니 머스터드 소스 후추 소금 
에이드,기타, 스위티 얼음 탄산음료 
고구마샐러드,기타, 샐러드채소 스위티 당근고구마 드레싱 마요네즈 파인애플 슬라이스 레몬즙 꿀 소금 
오이초밥,기타, 현미찰밥 사시미곤약 오이 삶은 계란 마요네즈 파슬리가루 청양고추 방울토마토 초고추장 현미찰밥 식초 설탕 소금 
소세지샌드위치,기타, 햄버거빵 쏘세지 방울토마토 양상추 치커리 양파 오이 오이피클 씨겨자 마요네즈 
그린티라미수,기타, 마스카포네 플레인요구르트 설탕 레몬즙 계란 설탕 판젤라틴 생크림 제누와즈 커피시럽 물 설탕 커피 장식용 가루 코코아 가루 슈가파우더 
초콜렛,기타, 다크쵸콜렛 밀크쵸콜렛 생크림 건포도페이스트 올리고당 깔루아 럼주대체 가능 발로나코코아가루 올리고당 대신 물엿
초콜릿,기타, 초콜릿 중탕볼 냄비 볼 온도계
돈가스월남쌈,기타, 돼지안심육 밀가루 빵가루 계란 소금 후추 토마토 양파 피망 파프리카 양배추 숙주 라이스페이퍼 돈가스소스 깨소스 참깨 마요네즈 간장 레몬즙 올리브유 참기름 식초 소금 설탕 머스터드 후추 
헤이즐넛초콜릿,기타, 초콜릿 헤이즐넛 초콜릿몰드
파베초콜릿,기타, 초콜릿 코코아가루 슈가파우더 생크림 버터 럼주 
참치샌드위치,기타, 빵식빵이나 모닝빵등 참치캔 마요네즈 다진피클 머스터드소스
식빵햄카나페,기타, 식빵 한라봉 슬아이스치즈 롯데햄 맘쉐프 요플레 마요네즈 머스타드소스 
양장피,기타,볶음 돼지고기 양파 애호박 목이버섯 불린것 대파 돌림 오이 계란 새우살 오징어 몸통 당근 돼지고기 밑간 소금 후춧가루 생강술 볶음 식용유 다진 마늘 소금 진간장 설탕 참기름 후춧가루 깨소금 겨자소스 발효된 겨자 다진 마늘 설탕 식초 물 소금 
샌드위치,기타, 식빵 감자 다진양파 설탕 장식용 칵테일새우 파슬리가루 버터나 식용유 마요네즈 우유나 생크림 
타코야끼,기타, 타코야끼가루 물 계란 양배추 오징어 밥새우 파 식용유 가츠오부시가루 파래가루 마요네즈 스테이크소스 
베이글에그샌드위치,기타, 베이글 달걀 다진 양파 마요네즈 머스터드소스 소금 후추 
귤샐러드,기타, 귤 샐러리 게맛살 사과 머스타드소스 마요네즈 양파 레몬즙 
전자렌지초콜릿찰떡,기타, 찹쌀가루 물 초콜릿 땅콩 호두 콩가루 찹쌀가루 키세스 초콜렛 물 코코아분말 땅콩 소금 땅콩분말 설탕 소금 
시금치불고기샌드위치,기타, 생시금치 불고기용 쇠고기 양파 노랑파프리카 빵 샌드위치 소스 허니머스터드소스 돈까스소스 불고기 간장 참기름 다진마늘 참깨드레싱 참깨 마요네즈 
새우유부초밥,기타, 시판 유부초밥 세트 밥 새우 양파 
두유아이스크림,기타, 바나나 얼린 것 두유 연유 피칸 
치즈햄말이주먹밥,기타, 쌀밥 치자단무지 참기름 슬라이스치즈 슬라이스햄 김밥용 김 후리가께 
토마토게살샌드위치,기타, 식빵 오이 게살 계란 토마토 젤리 한천 토마토 물 마요네즈 
꽁치버거샌드위치,기타, 흑미식빵 꽁치통조림 양파 빨간피망 초록피망 빵가루 듬뿍 양배추 채썬것 토마토 작은것 체다치즈 카레가루 듬뿍 후춧가루 소금 식용유 마요네즈 케찹 
베이컨치즈샌드위치,기타, 식빵 치즈 베이컨 옥수수캔 
양파베이컨오픈샌드위치,기타, 오븐스마일빵 양상치 베이컨 할라피뇨 치즈드레싱 양파볶음 양파 큰것 소금 식용유 진간장 발사믹식초 
양배추쌈밥,기타, 흰밥 검은 쌀밥 흰양배추 적양배추 명란젓 오징어젓 호두멸치볶음 계란 삶아 노른자와 흰자를 분리해서 다진 것 배합초 소금 식초 설탕 맛술 
샌드위치,기타, 양파 시금치 당근 비트 마늘 계란 식빵 소금 마요네즈 고추장
달걀치즈구이밥,기타, 안심불고기 실파 밥 계란 모짜렐라치즈 파슬리 베이컨
토마토파스타샐러드,기타, 파르펠레 토마토 파프리카 생모짜렐라치즈 양파 케이퍼 바질 올리브 꿀 머스터드 발사믹식초 올리브유 소금 밑간 올리브유 소금 후춧가루 
충무김밥,기타, 밥 오징어 무 사각어묵 김 밥 소금 참기름 깨소금 오징어와 어묵 고추가루 설탕 다진마늘 참기름 올리고당 다진 청양고추 생강술맛술청주 간장 대파 후춧가루 무 밑간 식초 설탕 굵은소금 무 고춧가루 설탕 초피액젓 멸치액젓 식초 다진마늘 통깨
느타리버섯덮밥,기타, 애느타리버섯 양파 큰 것 대파 멸치다시마육수 참치액 맛술 다진마늘 후춧가루 참기름 
딸기슬러시,기타, 얼린 딸기 플레인 요구르트 우유 꿀 
새싹롤샌드위치,기타, 식빵 체다치즈 새싹 게살 사과 소스 마요네즈 머스타드 꿀 
새우김밥,기타, 냉동새우 소금 소다 튀김용식용유 양상추 밥 튀김옷 밀가루 계란 빵가루 소금 후추 밥 밑간 식초 설탕 소금 소스 마요네즈 연유 올리고당 소금 레몬즙 
불고기김밥,기타, 소고기 불고기용 당근 달걀 김밥용 김 단무지 우엉 맛살 밥 고기 간장 설탕 마늘 참기름 후추 
꼬마김밥,기타, 밥 오이 김밥용어묵 햄 단무지 김 참기름 깨소금 소금 
망고무스케이크,기타, 크림치즈 설탕 생크림 망고퓨레 레몬즙 케이크시트 젤라틴 
에그샌드위치,기타, 양파 오이 계란 스팸 잎 넓은 시금치 버터 마요네스 소금 후추 
딸기슬러시,기타, 딸기 작은 것 오렌지주스 설탕시럽 시럽 물 설탕 꿀 
구운토마토까망베르베이컨샌드위치,기타, 샌드위치용빵 찰토마토 블랙올리브 베이컨 올리브유 후추 말린바질 소금 파슬리가루 마요네즈 까망베르치즈 
유부초밥,기타, 냉동 유부 푸우연어미역맛 주먹밥 믹스 당근 우엉조림 밥갓 지은것 유부조림 기꼬망 혼 쯔유 기꼬망 저염간장 설탕 식초 물 배합초 설탕 미쯔칸 곡물 식초 간장 와사비 겨자
닭가슴살양파샌드위치,기타, 닭가슴살 후추 소금 호밀빵 양파 양상추 스테이크소스 
티라미수,기타, 제노아즈 또는 카스테라 생크림 마스카포네치즈 아라잔 민트잎 젤라틴 시럽 물 설탕 커피시럽 커피분말 칼루아 코코아 파우더 시럽 머랭 흰자 설탕 
감자샌드위치,기타, 식빵 또는 통밀빵 양파 감자 건포도 오이 맛살 치즈 양상추또는로메인 머스터드소스 마요네즈 소금 후추 
베이글샌드위치,기타, 베이글 슬라이스햄 슬라이스치즈 양상추 방울토마토 마요네즈 머스터드 
바나나티라미수,기타, 카스테라나 제누아즈 바나나 젤라틴 설탕 생크림 코코아 가루 장식용 아라잔과 허브잎 커피액 커피 설탕 물 
클럽샌드위치,기타, 식빵 로메인 베이컨 슬라이스햄 토마토 슬라이스 치즈 크림치즈 
달걀감자샌드위치,기타, 식빵 달걀 감자 당근 양파 옥수수통조림 소금 마요네즈 머스터드 마요네즈 
