CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
도토리묵말이,비빔, 도토리묵 알타리김치 오이 알타리김치 설탕 참기름 통깨 오이 단촛물 물 소금 설탕 식초 장 홍고추 청양고추 다진대파 진간장 설탕 다진 마늘 참기름 통깨 
김치비빔국수,비빔, 잘익은김치 국수 고추장 물엿 식초 사이다 참기름 깨
콩나물밥,비빔, 밥 콩나물 물 식용유 간장 고춧가루 미림 참기름 깨소금 다진마늘 다진파
육회비빔밥,비빔, 우둔살 배 설탕 청양고추 새싹 쌈야채 쌀밥 고추장 육회 장 기준 다진마늘 소금 설탕 참기름 깨소금 
참치롤,비빔, 밥 깻잎 상추 단무지 크래미 김 밥이랑 검정깨 통깨 참치 마요네즈 후추 
무밥,비빔, 채썬무 쌀 다시마 물 간장 국간장 다진파 고춧가루 참기름 깨소금 
마카로니메추리알샐러드,비빔, 마카로니 삶은메추리알 잣 호두 마요네즈 설탕 흰후추 허니머스타드소스 
골뱅이비빔면,비빔, 골뱅이 소면 오이 대파 양파 청양고추 김치 골뱅이 국물 고추장 고운 고춧가루 물엿 설탕 식초 다진 마늘 참기름 통깨 단촛물
비빔냉면,비빔, 냉면사리 무 오이 삶은 달걀 참기름 통깨 배 양파 다진 마늘 다진 생강 진간장 국간장 설탕 물엿 맛소금 포도당 구연산 참깨 고운 고춧가루 
스테이크비빔밥,비빔, 쇠고기 목심 파프리카 깻잎 새싹 비빔장 고추장 매실조청 맛술 식초 마늘 깨 고기밑간 다진마늘 간장 맛술 후추 월계수잎
후리가케참치주먹밥,비빔, 밥 참치 후리가께 마요네즈 참기름 
소라무침쫄면,비빔, 쫄면 소라 당근 오이 양배추 적채 계란 고추장 설탕 식초 다진 양파 다진 마늘 청양고추 간장 물엿 고운 고춧가루 통깨 
돌솥비빔밥,비빔, 밥 약고추장 듬뿍 당근 무 애호박 콩나물 건표고버섯 계란 소금 참기름 다진 마늘 
김치비빔국수,비빔, 국수 김치 통배추 삶은계란 고추장 설탕 올리고당 참기름 통깨 
비빔야채묵국수,비빔, 도토리묵 배추 오이 당근 깻잎 고추장 매실액기스 올리고당 식초 참기름 참깨 검은깨 
콘샐러드,비빔, 피망 양파 옥수수 적파프리카 생크림 마요네즈 흰후추 설탕 
비빔만두,비빔, 만두 양배추 오이 양파 식용유 초고추장 고추장 요리당 식초 고춧가루 
새싹비빔밥,비빔, 밥 새싹 큰거 작은거 계란 양파 새송이버섯 쇠고기 고추장 설탕 다진 마늘 참기름 후추 
베이컨달걀야채비빔밥,비빔, 참나물 부추 미나리 배추 무 당근 오이 적양배추 달걀 베이컨 김밥용김 참기름 검은깨 고추장 간장 식초
김치비빔국수,비빔, 국수 김치 오이 고추장 수북히 올리고당 식초 참기름 스푼 통참깨 
김치비빔국수,비빔, 소면 잘익은 김치썬거 정도 삶은달걀 고추장 요리당 참기름 간장 깨소금 식초 
소세지야채비빔우동,비빔, 무 오이 당근 적양배추 홍파프리카 노랑파프리카 미나리 오리소세지 우동면 초고추장 고추장 간장 다진마늘 매실액기스 식초 꿀 참기름 검은깨
두부비빔밥,비빔, 돼지고기 두부 김치 밥 고추장 다진마늘 간장 후추 꿀 설탕 깨소금 참기름 
김치비빔국수,비빔, 국수 포기김치 대파 배 계란 꼬막 소금 볶음 고추장 고추가루 매실즙 깨소금 참기름 
콩나물비빔밥,비빔, 콩나물 갈은 소고기 양파채 잔파 다진마늘 간장 꿀 고춧가루 깨소금 참기름 잔파
김치비빔국수,비빔, 소면 오이 김치 고추장 식초 설탕 고추장 올리고당 간장 참기름 깨 
상추비빔밥,비빔, 상추 양파 슬라이스 청양고추 간장 고운고추가루 간마늘 참기름 깨소금 매실즙 설탕
새우브로콜리계란말이주먹밥,비빔, 브로콜리 맛살 새우 계란 밥 간장
간장비빔국수,비빔, 국수면 후리가케김가루깨소금 간장 올리고당 참기름
