CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
오징어마조림,조림, 안동산약 오징어 몸통 풋고추 대파 간장소스 간장 맛술 다시마물 설탕 큰술 생청국장 올리고당 참기름 
쇠고기당근감자말이,조림, 다하누 쇠고기 당근 감자 녹말가루 통마늘 기름 감자당근 데칠때 굵은 소금 허브맛솔트 소스 케찹 돈까스소스 물
양미리조림,조림, 양미리 식용유 밀가루 마늘 생강 조림장 간장 고추장 물엿 청주 물 통깨 참기름 
돼지고기장조림,조림, 돼지안심 한근 향신즙 녹차잎 물 잠길정도 양자택일 달걀 메추리알 조림 간장 올리고당 메실 엑기스 물 조림 사과 양파 대파 잎과 뿌리 마늘 생강 통후추 마른고추 
단호박고등어조림,조림, 고등어 단호박 대파 청고추 홍고추 물 고추장 고춧가루 간장 꿀 또는 물엿 다진마늘 다진생강 청주 소금 후춧가루 
쇠고기장조림 ,조림, 쇠고기장조림용 메추리알 청고추 청양고추 마늘 양파 물 통후추 마늘 건홍고추 육수 간장 설탕 청주 생강 
소고기장조림,조림, 한우 홍두깨살 메추리알 대파 통마늘 대파 월계수잎 청양고추 또는 꽈리고추 간장 설탕 통후추 매실청 
삼치조림,조림, 삼치 풋고추 붉은고추 대파 물 진간장 고춧가루 다진 마늘 설탕 생강즙 맛술 후춧가루 
돼지고기장조림,조림, 장조림용 돼지고기 통마늘 대파 생강 고추 양자택일 달걀 메추리알 간장 물 설탕 
갈치조림,조림, 갈치 무 양파 작은 것 풋고추 붉은 고추 대파 물 다진 마늘 고춧가루 생강즙 맛술 올리고당 설탕 진간장 식용유 
닭조림,조림, 닭약 감자 큰 것 당근 양파 대파 대추 마른고추나 청양고추 떡볶이 떡 물 참기름 통깨 닭고기밑간 청주 소금 후춧가루 간장 굴 소스 맛술 청주 흑설탕 다진 마늘 생강즙이나 가루 후춧가루 
코다리간장조림,조림, 코다리 청양고추 멸치육수 간장 맛술 청주 설탕 물엿 다진 마늘 생강즙이나 가루 포도씨오일 
딸기쨈,조림, 딸기 설탕
동파육,조림, 돼지 통삼겹살 간장 청주 물 생강 설탕 통후추 통 마늘 
닭날개간장조림,조림, 닭날개 다진 호두 밑간 맛술 소금 작은술 후춧가루 우유 간장소스 간장 레드와인 올리고당 레몬즙 후춧가루 설탕 물 건고추 작은 것 월계수잎 생강 통마늘 
우엉조림,조림, 우엉 식초 진간장 생강술 올리고당 설탕 식용유 멸치육수 통깨 
고등어무조림,조림, 고등어 무 양파 청고추 홍고추 대파 멸치다시마국물 고춧가루 간장 청주 참기름 된장 다진마늘 다진생강 후춧가루 소금
쇠고기당근감자말이,조림, 다하누 쇠고기 당근 감자 굵은 소금 녹말가루 허브맛솔트 통마늘 통마늘 기름 케찹 돈까스소스 물 
버섯소고기장조림,조림, 소고기장조림 거리 새송이버섯 꽈리고추 마늘 고기삶는 육수 물 청양고추 마늘 생강 양파 통후추 조림장 고기육수 배즙 간장 생강술 청주맛술 
고등어무조림,조림, 고등어 무 물 풋고추 소금 고춧가루 고추장 다진 마늘 간장 설탕 청주 다진파 후추 통깨 
오향계란장조림,조림, 계란작은 것 팔각 물 흑설탕 간장 맛술 
장조림,조림, 돼지고기 통삼겹살 삶은계란 찬물 미림 양파 통마늘 기꼬망 저염간장 월계수잎 통후추 정향 설탕 미림 양파 겨자 
고등어보쌈,조림, 고등어 멸치육수 김치 청양고추 작은 것 대파 식용유 설탕 후춧가루 고등어 밑간 생강즙 맛술 후춧가루 
가자미조림,조림, 손질된 가자미 무 양파 대파 청고추 홍고추 물 진간장 고춧가루 맛술 황설탕 올리고당 마늘 생강가루 후춧가루 
