CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
우럭손질,회, 우럭 
연어초밥,회, 생연어회까지 만들 양 양파 무순 와사비 쌀밥 반 배합초 설탕 가는소금 식초 타르타르 소스 마요네즈 매실액 또는 설탕 식초 피클 
연어캘리포니아롤,회, 생연어 양파 크래미 사과 오이 깻잎 쌀밥 마요네즈 식초 참기름 설탕 소금 
참치회덮밥,회, 밥 냉동 참치 무순 새싹채소 어린잎 채소 초고추장 
연어샐러드,회, 슬라이스 훈제연어 한토막 양상추 양파 무순 레몬 블랙올리브 슬라이스 케이퍼 생와사비
광어회덮밥,회, 생연어 광어 상추 깻잎 무순 날치알 레몬 초고추장 참기름 고슬고슬한 밥
연어샐러드,회, 연어 양파 어린잎채소 유자소스 발사믹소스 
멍게손질,회, 멍게
피조개손질,회, 피조개
딸기쿠키,회,딸기쿠키 박력분 버터 슈가파우더 우유 소금 딸기레진 녹차파우더 검정깨 
카르파쵸,회, 광어회 올리브유 레몬즙 맛간장 가스오부시육수 꿀 파슬리가루 어린잎 양파 설탕
문어숙회부추말이,회, 자숙 문어 부추 초장 술 깨소금 
쭈꾸미손질,회, 쭈꾸미 밀가루 굵은소금 생강가루 주방가위 
연어덮밥,회, 두툼하게 썬 연어회 고슬고슬 지은 밥 배합초 식초 설탕 소금 간장소스 간장 맛술 물 올리고당 양파 마늘 매실액 
초밥,회,연어광어회 회 간장 와사비 고슬한 밥짓기 맵쌀찹쌀 다시마 청주 부 마른표고버섯 설탕 맛간장 꿀 두릅 소금 초고추장 달걀 소금 연유 흰후추 
광어,회,광어 횟감 간장 초고추장 레몬 슬라이스 와사비 
연어초밥,회,연어 마요네즈 레몬즙 소금 후추 요플레 설탕 밥 
참돔회,회, 자연산참돔 초고추장 와사비 간장 끓는 물 
참치회,회, 오도로 주도로 눈다랑어뱃살 기타 간장 생와사비와사비 락교 생강절임 무 무순 참치해동 물 소금 
생선초밥,회,생선횟감 골뱅이 새우 백미새우 한치 밥 배합초 생강 적채 소금 설탕 식초
연어회,회,연어
새우손질,회, 새우 소금 후추 이쑤시개
연어샐러드,회, 연어 오이 오리엔탈드리싱 양상추 여러가지야채 방울토마토 
물회,회,물회 깻잎 양배추 상추 고추 회 좋아하는만큼 해삼 좋아하는만큼 얼음 물회육수 다시마 찬물 고추장 설탕 식초 참기름 간장 다진마늘 
연어덮밥,회, 훈제연어 채썬양파 무순 고추냉이 밥 소스 양파 마늘 간장 미림 물 설탕 선택 가스오부시 
한치물회,회, 한치 양파 미나리 오이 고추 당근 깻잎 배 고추장 된장 식초 매실액 설탕 참기름 살짝
참치회덮밥,회, 냉동참치 푸른채소깻잎상추 양파 양배추 당근 오이 회덮밥 밥 고추장 식초 설탕 다진마늘 배즙사이다 매실액 참기름 
송어초밥,회, 연어 새우 초대리 식초 설탕 소금 레몬즙 
참치초밥,회, 밥 참치 무순 와사비장 초밥촛물 설탕 식초 소금 
훈제연어체리레몬샐러드,회, 훈제연어 체리 방울토마토 레몬즙 올리고당 케이퍼 올리브유 파프리카 소금 곁들임 양상추 토핑용 피자두 곁들임 어린새싹 장식용 레몬슬라이스 홀그레인 머스터드 마요네즈 오이 피클 플레인 요거트 
어묵물회,회, 오이 양파 깻잎 사각어묵 무순 장 고추장 고추가루 식초 설탕 간마늘 
골뱅이물회,회,필수 양배추 적양배추 오이 파프리카 통조림골뱅이 선택 청고추 홍고추 육수 시판 냉면육수 고추장 식초 연겨자 다진마늘 부순참깨 골뱅이밑 다진마늘 참기름 부순참깨 
골뱅이물회,회, 골뱅이 양파 당근 적양배추 양배추 깻잎 소면 고추장 식초 설탕 다진마늘 와사비 냉면육수 참기름 깨 
송이버섯손질,회, 자연송이 참기름 소금
굴물회,회, 굴 상추 깻잎 가을무 당근 물 냉면육수 고추장 설탕 고추가루 식초 매실청 천연가루또는 시판용 후추 소금 통깨 
대하회,회, 살아있는 대하 얼음 정수물 간장 맛술 생와사비 
송이버섯보관,회, 자연산송이 소금 들기름 
계란초밥,회, 계란 연겨자 촛물 촛물 식초 설탕 물 소금 
훈제연어샐러드,회, 훈제연어 로메인 양파 블랙올리브 발사믹크림 
연어덮밥,회, 연어 양파 와사비 간장 물 설탕 식초 다진마늘 
계란초밥,회, 밥 계란 단무지 식초 설탕 소금 고추가루 
인삼강회,회, 인삼 오징어 초록색 피망 빨간 파프리카 노랑 파프리카 쪽파 맛살 소금 초고추장 고추장 감식초 올리고당 다진 마늘 깨 
당근,회, 당근 
방어초밥,회, 방어 밥 생와사비 단촛물 식초 설탕 소금
참치회초밥,회, 참치 김 내외 생강 고추냉이 간장 식초 설탕 소금 
유자청연어샐러드,회, 훈제연어 양상추 무순 양파 빨노파프리카 엑스트라버진 올리브오일 유자청 꿀 레몬 소금 후춧가루 케이퍼 
참치회,회, 동원 참치통뱃살 물 소금 간장 고추냉이 
과일샐러드,회, 양상추 딸기 사과 배 감 키위 소스 무가당 요거트 레몬 소금 설탕에절인건과일망고키위파파야
과메기손질,회, 과메기 상추 깻잎 배추 마늘쫑 쪽파 마늘 청양고추 김 초고추장
연어덮밥,회, 연어 양파 소스만들기 진간장 맛술 식초 다진마늘 올리고당 물 양파 
연어덮밥,회, 훈제연어 양파 와사비 밥 간장 간장 물 맛술 올리고당 식초 다진마늘 
참치초밥,회, 눈다랑어뱃살 단촛물 밥 식초 생와사비 간장 설탕 소금 
연어덮밥,회, 밥 연어 무순 와사비 마요네즈 소스 간장 물 미림 설탕 식초 다진마늘 양파 가스오부시 
꼬막굴밥,회, 쌀 굴 자숙 왕꼬막 무 참기름 간장 달래 조미료 소량 통깨 참기름
소라물회,회, 소라 오이 당근 양파 상추 양배추 반개짜리 땡초 홍고추 얼음 물 고추장 올리고당 식초 다진마늘 미림 통깨 솔솔 참기름 
회초밥,회, 좋아하는회 밥 겨자 간장 식초 설탕 
연어덮밥,회, 연어 주유 양파 와사비
회덮밥,회, 좋아하는 회 원하는만큼 당근 새싹채소 오이 밥 초장 참기름 
아보카도손질,회, 김 크래미나 맛살 오이 날치알 슬라이스치즈 아보카도 밥 마요네즈 와사비 배합초 식초 설탕 소금 
골뱅이물회,회, 골뱅이 냉면육수 양파 참외 오이 노랑파프리카 빨강파프리카 적양배추 청양고추 물회소스 고추장 식초 매실액 
참치회해동,회, 다랑어 통뱃살 오이 맛간장 생와사비 초고추장 소금 물 초고추장 고추장 식초 꿀올리고당 
연어초밥,회,연어초밥 생연어 슬라이스 고슬고슬한 쌀밥 생와사비 무순 케이퍼 단촛물 식초 설탕 소금 양파마요소스 양파 마요네즈 레몬즙또는 식초 꿀 소금 파슬리 후추 
한치물회,회, 한치 복숭아 양파 청양고추 깻잎 오이 사이다 콩국수면 고추장 고춧가루 바나나식초 매실청 설탕 마늘 통깨 
참치회덮밥,회, 참치회 밥 당근 오이 깻잎 채 썰은 양배추 채 썰은 적양배추 어린잎 채소 통깨 참기름 김가루 장 고추장 식초 매실액 깨소금 
골뱅이물회,회, 통조림 골뱅이 오이 당근 쪽파 양파 중간 크기 깻잎 양상추 소면 다진마늘 불린 미역 고추장 설탕 고춧가루 식초 국물 물 설탕 식초 소금 
연어롤,회, 훈제 연어 깻잎 사과 맛살 볶은 당근 양파 김 밥 소금 참기름 깨소금 김밥 햄 줄 타르타르소스 마요네즈 삶은 노른자 올리고당 식초 소금 후추 
새우초밥,회, 활새우 살치살 계란 설탕 식초 소금 간장 굵은소금 
오도리회,회, 오도리 간장 와사비
연어덮밥,회, 슬라이스 연어 무순 양파 와사비 배합초밥숟가락 계량 식초 설탕 소금 간장소스 간장 물 설탕 다진마늘 미림 
연어초밥,회, 밥 생연어 배합초 무순 
대하,회, 대하 얼음 소금 
갈치회,회, 갈치 초고추장 
전복회,회, 전복 초고추장 
지라시스시,회, 연어회 연근 당근 칵테일새우 계란 단무지 밥 나머지 표고버섯 깻잎 양배추 상추
연어초밥,회, 밥 식초 설탕 소금 고추냉이 타르타르소스 마요네즈 양파 다진것 오이피클 비트피클 레몬즙 설탕 삶은달걀 
과메기파강회,회, 과메기 남은양에따라달라짐 쪽파 과메기양에따라 당근 고추장 매실액 맛술 다진마늘 생강즙 참기름 
사시미,회, 알로에 코코넛밀크 레몬 회간장 와사비
훈제연어초밥,회, 밥 훈제연어 슬라이스 양파 연겨자 홀스래디쉬 소스 단촛물밥 간 식초 설탕 소금 
연어덮밥,회, 밥 슬라이스 연어 양파 마른김 와사비 조림장 간장 물 설탕 식초 다진마늘 
연어초밥케이크,회, 연어 밥 다진 양파 다진 브로콜리 생와사비 단촛물 식초 설탕 소금 딥소스 마요네즈 크림치즈 소금 백후추 
