CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
와플,굽기, 핫케이크믹스 우유 계란 생딸기 메이플시럽 취향껏 휘핑크림 취향껏
홈런볼,굽기, 버터 물 우유 설탕 소금 중력분 달걀 생크림 초콜릿 꿀 
생크림케이크,굽기,제노와즈 계란 설탕 박력분 버터 바닐라액 오렌지술 생크림 설탕 장식 벚꽃절임 피스타치오 컬러슈가 오렌지시럽 오렌지 설탕 물 오렌지술 
까망베르치즈케이크,굽기, 까망베르치즈 생크림 계란노른자 설탕 박력분 레몬즙 오렌지술 오렌지액 제노아즈 장식 슈가파우더 견과류 초코렛 머랭 흰자 설탕 
모카쿠키,굽기, 아몬드 헤이즐넛 피스타치오 계란흰자 커피가루 흰설탕 
코다리양념구이,굽기, 코다리 다진대파 고춧가루 간장 다진 마늘 참기름 설탕 맛술 
쿠키,굽기, 아몬드 헤이즐넛 피스타치오 계란흰자 커피가루 흰설탕 
고구마크림치즈구이,굽기, 고구마 큰것 계란노른자 설탕 크림치즈 무염버터 
모카초코칩머핀,굽기, 버터 설탕 달걀 박력분 우유 인스턴트커피 베이킹파우더 초코칩 
새우버거,굽기,새우패티 새우살 양파 빵가루 계란 밀가루 소금 양상추 치커리 피클 방울토마토 소스 마요네즈 허니머스타드소스 홀그레인 씨겨자 
로쉐,굽기, 다크쵸콜릿 견과류 초코펜 
느타리버섯구이,굽기, 느타리버섯 장 고추장 고춧가루 다진 마늘 다진 파 깨소금 참기름 소금 맛간장 매실엑기스 설탕 
딸기가나슈케이크,굽기, 생크림 딸기 장식용 초코렛 제노아즈 박력분 버터 설탕 계란 코코아가루 가나슈 다크초코렛 생크림 
베이컨,굽기, 삼겹살 또는 오겹살 소금 후추 홍차티백향신료로 대체가능 
식빵,굽기, 강력분 계란 우유 연유 설탕 인스턴트이스트 버터 소금 
카스테라,굽기, 박력분 계란노른자 계란 정도 오일 럼주 설탕 꿀 물엿 생크림 버터 소금 바닐라설탕
퍼지브라우니,굽기, 중력분 계란 베이킹파우더 다크초콜릿 무가당코코아가루 버터 유기농설탕 바닐라익스트랙 소금 
마늘바게트,굽기, 바게트빵 버터 다진마늘 연유 마요네즈 설탕 파슬리가루 파르메산치즈가루 
모카빵,굽기, 강력분 계란 버터 설탕 우유 인스턴트이스트 소금 뜨거운물 커피 깔루아 건포도 호두 비스킷 박력분 버터 설탕 계란 우유 베이킹파우더 베이킹소다 모카에센스 
삼색상투과자,굽기, 백앙금 아몬드가루 노른자 생크림 물엿 녹차가루 백년초 가루 단호박가루 
옥수수식빵,굽기, 유기농 옥수수가루 유기농 강력분 물 우유 드라이이스트 스위트콘 설탕 버터 소금 
식빵,굽기, 우유 물 강력분 박력분 설탕 인스턴트 드라이이스트 소금 버터 백련초가루 온수 코코아가루 온수 
요거트스콘,굽기, 박력분 소금 베이킹 파우더 베이킹소다 설탕 요거트 크랜베리 후르츠믹스 계란물 
와플,굽기, 중력분박력분 계란 베이킹파우더 베이킹소다 럼주 우유 바닐라액 버터밀크 녹인버터나 오일 설탕 소금 
오렌지닭봉구이,굽기, 닭봉 오렌지 우유 닭봉밑간 다진마늘 소금 후춧가루 오렌지소스 오렌지 주스 설탕 식초 물엿 굴소스 핫소스 물 
햄야채키슈,굽기,키슈블랑 계란 노른자 생크림 넛맥 후춧가루 소금 키슈반죽 강력분 박력분 버터 계란 소금 우유 또는 물 통조림햄 작은것 브로콜리 양파 새송이 버섯 큰것 파프리카 중간것 모짜렐라치즈 또는 에멘탈치즈 
견과류파운드케익,굽기, 박력쌀가루 버터 황설탕 계란 생크림 와인 헤즐넛가루 시나몬가루 베이킹 파우더 은술 소금 다크 쵸콜릿 다진 것 피칸 다진 것 통피칸 호두 피스타치오 통아몬드 와인에 절인 건조산딸기 팔각 나빠주 물 
쿠키,굽기,플레인 반죽 박력분 탈지분유 버터 노른자 바닐라오일 설탕 초코반죽 무가당 코코아가루 박력분 설탕 노른자 바닐라 오일 
파운드케이크,굽기,푸룬졸임 포도주 꿀 팔각 레몬껍질 푸룬 파운드반죽 버터 설탕 박력분 계란큰것 베이킹파우더 글레이즈 온수 레몬즙 슈가파우더 
쌀가루치즈케이크,굽기, 크림치즈 설탕 달걀 바닐라오일 아몬드가루 햇방아 쌀가루 생크림 프룬 호두 
두부또띠아피자,굽기, 또띠아 두부 청피망 빨강 파프리카 노랑 파프리카 양파 베이컨 피자치즈 파슬리가루 시판피자소스 
캬라멜와플,굽기,캬라멜 와플 강력분 박력분 계란 설탕 버터 캬라멜크림 우유 드라이 이스트 캬라멜 아이스크림 생크림 우유 캬라멜크림 설탕 
피낭시에,굽기, 중력분 아몬드가루 슈가파우더 베이킹파우더 트리몰린 또는 물엿 바닐라향 계란 흰자 버터 말차가루 포피씨드 
잉글리시머핀,굽기, 강력분 이스트 설탕 소금 버터 분유 식초 물 옥수수가루 
단호박머핀,굽기, 박력분 단호박가루 단호박 버터 설탕 달걀 베이킹파우더 소금 우유 바닐라오일 
컵계란빵,굽기,반죽 핫케이크가루 우유 달걀 토핑 달걀 슬라이스치즈 파슬리가루 
캬라멜마블파운드케이크,굽기, 박력분 베이킹 파우더 우유 계란 버터 설탕 캬라멜크림 
제누아즈,굽기, 달걀 설탕 물엿 박력분 식용유 바닐라 오일 
딸기생크림케이크,굽기, 딸기 키세스초콜릿 장식용왕관택 생크림 물 설탕 
롤케이크,굽기, 박력분 계란 약 설탕 우유 벌꿀 버터 딸기시럽 딸기파우더 생크림 설탕 딸기시럽 
등갈비바베큐,굽기, 등갈비 등갈비 밑간 생강술 소금 월계수잎 통후추 양파 통마늘 바베큐소스 핫소스 물 
오렌지마들렌,굽기, 박력분 설탕 버터 포피씨드 레몬즙 달걀 우유 오렌지 껍질 베이킹 파우더 바닐라향 
아마씨식빵,굽기, 아마씨 믹스 동봉된 이스트 따뜻한물 포도씨유 치즈 올리고당 계란물 
두부샌드그라탕,굽기, 두부 쇠고기 대파 피자치즈 포도씨유 소금 쇠고기 진간장 핫소스 설탕 마늘 청주 참기름 후춧가루 
딸기버터케이크,굽기, 버터 설탕 달걀 박력분 우유 베이킹파우더 바닐라오일 장식 딸기 약 생크림 나빠쥬 광택제 
콘브레드,굽기, 중력분 옥수수가루 계란 버터 우유 베이킹파우더저는 베이킹소다 소금 설탕 취향에 따라 물기뺀 옥수수알 겉에 바를 노른자 
귤머핀,굽기, 박력분 아몬드가루 버터 설탕 계란 베이킹파우다 귤 우유 바닐라오일 
버거,굽기, 바다로 동태 햄버거빵 체다치즈 빵가루 소금 후춧가루 계란 양파 피클 양상추 토마토 타르타르소스 삶은 계란 마요네즈 허니머스터드소스 피클 파슬리 식초 레몬즙 소금 
치즈케이크,굽기, 크림치즈 설탕 계란 옥수수전분 생크림 레몬껍질 다이제쿠키 버터 
식빵,굽기, 강력분 청콩가루 우유 탈지분유 소금 설탕 이스트 크림치즈 체다치즈 
캬라멜비스코티,굽기, 계란 설탕 캬라멜크림 통아몬드 아몬드가루 박력분 베이킹파우더 
등갈비바베큐,굽기, 등갈비 시판용 바베큐소스 등갈비 밑간 생강술 통후추 정도 월계수잎 허브소금 
녹차롤케이크,굽기,롤케이크 박력분 계란 설탕 우유 꿀 버터 녹차가루 생크림 설탕 파트 아 슈 물 버터 소금 설탕 박력분 계란 크렘 파티시에르 우유 바닐라액 계란노른자 설탕 옥수수전분 
바나나머핀,굽기, 박력분 아몬드가루 버터 설탕 계란 베이킹파우다 소금 우유 바닐라오일 바나나 
파운드,굽기,장미노르딕 파운드케익틀 큰거 한개 분량 버터 설탕 박력분 계란 베이킹파우더 소금 레몬액기스 레몬즙 모카액기스 깔루아 
가토쇼콜라,굽기, 버터 다크초콜렛 설탕 달걀 레드와인 소금 무가당 생크림 박력쌀가루 무가당 발로나 코코아 가루 장식용 슈가파우다 레드와인에 절인건포도 
녹차팥파운드케이크,굽기, 박력분 설탕 버터 녹차가루 계란 베이킹 파우더 바닐라오일 팥배기 
조개구이,굽기, 게조개 계란 노른자 두부 대파 풋고추 홍고추 미니파프리카 삶은 계란 소금 후춧가루 다진 마늘 
노오븐마늘빵,굽기, 식빵 버터 다진 마늘 파슬리가루 
초코칩쿠키,굽기, 밀가루중력분박력분 버터 황설탕 계란 베이킹소다 소금 커피액기스 코코아가루 호두 초코칩 설탕 
장미꽃쿠키,굽기, 버터 슈가파우더 박력분 딸기시럽 우유 
